skingoal_healthy,skingoal_glowing,skingoal_clear,skingoal_hydrated,skingoal_protected,skingoal_balanced,skingoal_repaired,skingoal_calm,skingoal_bright,skingoal_rejuvenated,skingoal_restored,skinconcern_agingskin,skinconcern_acne,skinconcern_dryskin,skinconcern_firmnesselasticity,skinconcern_pigmentation,skinconcern_sensitivity,skintype,skinafterwash,tzoneoily,cloggedpores,fitzpatrick,gender,ethnicity,age,pregnant,vegan,currentproducts_cleanser,currentproducts_serum,currentproducts_eyecream,currentproducts_dailymoisturizer,currentproducts_spf,currentproducts_nightcream,getmatched
0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,skintypecombination,skinafterwashrough,tzoneoilysometimes,cloggedporessometimes,fitzpatrick5,genderfemale,ethnicitycaucasian,age1824,pregnantno,veganno,1,1,1,1,0,1,getmatched_cleanser
1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,skintypenotsure,skinafterwashshiny,tzoneoilysometimes,cloggedporesrarely,fitzpatrick2,genderfemale,ethnicityafricanamerican,age1824,pregnantno,veganyes,1,1,0,1,1,0,getmatched_nightcream
0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,skintypecombination,skinafterwashrough,tzoneoilysometimes,cloggedporessometimes,fitzpatrick5,genderfemale,ethnicitycaucasian,age1824,pregnantno,veganno,1,1,1,1,0,1,getmatched_nightcream
1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,skintypenotsure,skinafterwashshiny,tzoneoilysometimes,cloggedporesrarely,fitzpatrick2,genderfemale,ethnicityafricanamerican,age1824,pregnantno,veganyes,1,1,0,1,1,0,getmatched_dailymoisturizer
1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,skintypenotsure,skinafterwashshiny,tzoneoilysometimes,cloggedporesrarely,fitzpatrick2,genderfemale,ethnicityafricanamerican,age1824,pregnantno,veganyes,1,1,0,1,1,0,getmatched_serum
0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,skintypecombination,skinafterwashrough,tzoneoilysometimes,cloggedporessometimes,fitzpatrick5,genderfemale,ethnicitycaucasian,age1824,pregnantno,veganno,1,1,1,1,0,1,getmatched_dailymoisturizer
1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,skintypenotsure,skinafterwashshiny,tzoneoilysometimes,cloggedporesrarely,fitzpatrick2,genderfemale,ethnicityafricanamerican,age1824,pregnantno,veganyes,1,1,0,1,1,0,getmatched_cleanser
1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,skintypecombination,skinafterwashhydrated,tzoneoilyalways,cloggedporessometimes,fitzpatrick1,genderfemale,ethnicitycaucasian,age1824,pregnantno,veganyes,1,1,0,0,1,1,getmatched_eyecream
1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,skintypecombination,skinafterwashhydrated,tzoneoilyalways,cloggedporessometimes,fitzpatrick1,genderfemale,ethnicitycaucasian,age1824,pregnantno,veganyes,1,1,0,0,1,1,getmatched_serum
1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,skintypecombination,skinafterwashhydrated,tzoneoilyalways,cloggedporessometimes,fitzpatrick1,genderfemale,ethnicitycaucasian,age1824,pregnantno,veganyes,1,1,0,0,1,1,getmatched_cleanser
